target,mission,mag,brightness_bin,segment,accepted,error,sde,path,n_points,baseline_days,cadence_min,oot_scatter_ppm,split
KIC 12470827,kepler,13.522,medium,3,True,,5.732489932905119,data/baselines/kepler_KIC_12470827.npz,2106.0,44.44214384172665,29.423753516748548,181.24933543224472,train
KIC 10453018,kepler,12.539,medium,5,True,,5.982448185058992,data/baselines/kepler_KIC_10453018.npz,1624.0,33.47109845270461,29.42514272290282,2485.440889889038,train
KIC 8289770,kepler,13.652,medium,2,True,,5.156224800028343,data/baselines/kepler_KIC_8289770.npz,2091.0,44.99305383639148,29.423249670071527,143.30194889601577,train
KIC 9326711,kepler,13.258,medium,0,True,,6.931433936002051,data/baselines/kepler_KIC_9326711.npz,1624.0,33.47115935910551,29.42519804346375,152.3045582362192,test
KIC 11807854,kepler,13.576,medium,2,True,,6.783855243449258,data/baselines/kepler_KIC_11807854.npz,2091.0,44.99347038665291,29.42352627811488,143.84187679510586,train
KIC 9539948,kepler,13.674,medium,5,True,,6.167515737215709,data/baselines/kepler_KIC_9539948.npz,2144.0,44.99573547025648,29.425024213269353,151.85978557291415,train
KIC 9044715,kepler,13.459,medium,1,True,,6.025749984010824,data/baselines/kepler_KIC_9044715.npz,2075.0,44.99577674077591,29.42502974532545,147.1248386182573,train
KIC 3751075,kepler,13.692,medium,2,True,,6.956043566176709,data/baselines/kepler_KIC_3751075.npz,2091.0,44.992704859578225,29.423018591478467,424.8739754814849,test
KIC 8365608,kepler,13.425,medium,5,True,,5.655884011170352,data/baselines/kepler_KIC_8365608.npz,2144.0,44.99548361152847,29.424857570556924,139.71097901267547,train
KIC 7222208,kepler,13.517,medium,2,True,,6.704280033913414,data/baselines/kepler_KIC_7222208.npz,2091.0,44.99302049975813,29.423213800764643,136.1285188921625,train
KIC 4048300,kepler,13.465,medium,0,True,,5.753525321136402,data/baselines/kepler_KIC_4048300.npz,1624.0,33.47152699112485,29.425526121631265,232.8119568833985,test
KIC 5647808,kepler,13.467,medium,5,True,,6.440938766098111,data/baselines/kepler_KIC_5647808.npz,2144.0,44.995857887020975,29.425108357099816,155.59040686922495,train
KIC 3247527,kepler,13.766,medium,5,True,,5.489762103502104,data/baselines/kepler_KIC_3247527.npz,2144.0,44.992737020402274,29.42303284071386,203.9945598600062,test
KIC 9417940,kepler,13.087,medium,3,True,,6.1242180476640735,data/baselines/kepler_KIC_9417940.npz,2144.0,44.99573767446418,29.42502605728805,283.81353264519146,train
KIC 11144824,kepler,13.106,medium,2,True,,4.84629268615696,data/baselines/kepler_KIC_11144824.npz,2091.0,44.993417003825016,29.423480088589713,231.88444319327985,train
KIC 10482899,kepler,12.994,medium,3,True,,5.89024940881393,data/baselines/kepler_KIC_10482899.npz,2106.0,44.44210938273318,29.423723928630352,105.0029180347633,train
KIC 9773581,kepler,13.035,medium,2,True,,6.180141456425397,data/baselines/kepler_KIC_9773581.npz,2091.0,44.99323844996252,29.423365853726864,103.8373109344386,test
KIC 7459587,kepler,13.337,medium,0,True,,6.23617295748512,data/baselines/kepler_KIC_7459587.npz,1624.0,33.47159197392466,29.4255824375432,112.45803470809771,test
KIC 12119632,kepler,12.711,medium,4,True,,5.78422798008897,data/baselines/kepler_KIC_12119632.npz,2116.0,44.99600960053067,29.425193349597976,126.08380040419344,test
KIC 11199287,kepler,13.463,medium,5,True,,6.93670049031223,data/baselines/kepler_KIC_11199287.npz,2144.0,44.99566821386543,29.42497710697353,132.95784443848308,train
KIC 5975207,kepler,13.259,medium,5,True,,4.824067663962131,data/baselines/kepler_KIC_5975207.npz,2144.0,44.99570976295945,29.42500978591852,158.97020199111603,train
KIC 9418850,kepler,13.696,medium,3,True,,6.612122069087507,data/baselines/kepler_KIC_9418850.npz,2106.0,44.44205714415148,29.423687970265743,150.25015231981146,train
KIC 4381124,kepler,13.649,medium,2,True,,6.224281523222926,data/baselines/kepler_KIC_4381124.npz,2091.0,44.99277117446036,29.42305094038602,150.97522854340045,train
KIC 9705877,kepler,13.139,medium,2,True,,6.678925919700736,data/baselines/kepler_KIC_9705877.npz,2091.0,44.993215025977406,29.42336400970817,102.02240700699046,train
KIC 6139000,kepler,13.386,medium,0,True,,4.54958698866255,data/baselines/kepler_KIC_6139000.npz,1624.0,33.47165395984484,29.42563390242867,286.7806505504705,train
KIC 5446110,kepler,13.013,medium,3,True,,5.110631019501084,data/baselines/kepler_KIC_5446110.npz,2106.0,44.44237494214758,29.423902714625,398.90958651553393,test
KIC 5450413,kepler,12.872,medium,3,True,,4.704806639944697,data/baselines/kepler_KIC_5450413.npz,2144.0,44.99552077711997,29.424884067848325,121.34590844303509,train
KIC 10319126,kepler,13.395,medium,3,True,,5.521974878667121,data/baselines/kepler_KIC_10319126.npz,2106.0,44.44288781456271,29.424249714938924,162.29947823922666,train
KIC 10730228,kepler,12.95,medium,5,True,,6.976614432183543,data/baselines/kepler_KIC_10730228.npz,2144.0,44.99545925162238,29.424839140847325,333.9287396754114,train
KIC 6310248,kepler,12.69,medium,1,True,,5.232640910862708,data/baselines/kepler_KIC_6310248.npz,2075.0,44.99579529435141,29.425039295456372,335.1219390760679,train
KIC 5430106,kepler,13.522,medium,5,True,,6.882511232066122,data/baselines/kepler_KIC_5430106.npz,2144.0,44.99282609689544,29.423096710816026,145.07884184359642,train
KIC 6213607,kepler,13.719,medium,2,True,,6.125610081009994,data/baselines/kepler_KIC_6213607.npz,2091.0,44.99290210537583,29.423140045255423,155.89080840226026,train
KIC 8518483,kepler,13.592,medium,1,True,,5.412853323715981,data/baselines/kepler_KIC_8518483.npz,2075.0,44.99581357621355,29.425053209415637,150.71434971818374,test
KIC 9211176,kepler,13.69,medium,5,True,,5.332667880644489,data/baselines/kepler_KIC_9211176.npz,2144.0,44.99531948641379,29.4247489515692,317.5891323328273,train
KIC 3454480,kepler,13.516,medium,5,True,,5.349650314573383,data/baselines/kepler_KIC_3454480.npz,2144.0,44.992745373201615,29.423038865206763,165.3986914302004,test
KIC 10121853,kepler,13.09,medium,1,True,,6.134161664546023,data/baselines/kepler_KIC_10121853.npz,2075.0,44.99500050040661,29.42451392300427,187.43848757193237,train
KIC 11501963,kepler,14.993,faint,0,True,,6.350413875321703,data/baselines/kepler_KIC_11501963.npz,1624.0,33.471190544441924,29.425232084468007,413.5882290324028,train
KIC 11017115,kepler,14.77,faint,4,True,,6.821015347429504,data/baselines/kepler_KIC_11017115.npz,2139.0,44.99523871978454,29.42468499240931,296.7940479959188,train
KIC 2303694,kepler,14.932,faint,2,True,,5.372870975821544,data/baselines/kepler_KIC_2303694.npz,2091.0,44.992617973875895,29.42296766617801,378.29892651257416,train
KIC 8738643,kepler,13.368,medium,4,True,,5.969931786508802,data/baselines/kepler_KIC_8738643.npz,2116.0,44.996450916871254,29.425497287884355,103.20668463524608,train
KIC 7503606,kepler,12.622,medium,3,True,,5.1547715071348,data/baselines/kepler_KIC_7503606.npz,2106.0,44.44285634243715,29.42422792199068,139.21173590340223,test
KIC 8933628,kepler,13.772,medium,1,True,,5.640560690333787,data/baselines/kepler_KIC_8933628.npz,2075.0,44.994995096174534,29.42450813949108,143.7787804886405,train
KIC 8168383,kepler,13.655,medium,4,True,,5.67928030551194,data/baselines/kepler_KIC_8168383.npz,2144.0,44.995533145549416,29.4248906057328,447.3108708980308,train
KIC 7812503,kepler,12.578,medium,4,True,,6.494707735291662,data/baselines/kepler_KIC_7812503.npz,2116.0,44.996544357745734,29.42555470392108,79.60393601979159,train
KIC 3853903,kepler,13.702,medium,1,True,,6.692931885349784,data/baselines/kepler_KIC_3853903.npz,2075.0,44.99547414778499,29.42482522164937,186.06208998402207,train
KIC 8546589,kepler,13.222,medium,3,True,,5.276231174390988,data/baselines/kepler_KIC_8546589.npz,2106.0,44.442668891068024,29.42410152289085,104.9467571380015,train
KIC 7017298,kepler,13.724,medium,2,True,,6.263755291077987,data/baselines/kepler_KIC_7017298.npz,2091.0,44.99292610066914,29.423157814890143,115.66863882844945,train
KIC 3099707,kepler,13.481,medium,0,True,,5.920343382109695,data/baselines/kepler_KIC_3099707.npz,1624.0,33.47147081537696,29.425478847697377,323.66971438303045,test
KIC 11284030,kepler,13.258,medium,2,True,,5.770335940817405,data/baselines/kepler_KIC_11284030.npz,2091.0,44.99338625877135,29.423452601186,135.4118518927035,train
KIC 10972955,kepler,13.361,medium,0,True,,5.430892272350756,data/baselines/kepler_KIC_10972955.npz,1624.0,33.47126174347068,29.425294938264415,125.80035677702716,train
KIC 10983102,kepler,13.645,medium,3,True,,6.789016871550278,data/baselines/kepler_KIC_10983102.npz,2106.0,44.44217820438644,29.4237716216594,476.7710943299068,train
KIC 12066279,kepler,13.555,medium,1,True,,5.949533411602286,data/baselines/kepler_KIC_12066279.npz,2075.0,44.995534124958795,29.424876602715813,150.6718277636644,train
KIC 9267221,kepler,13.722,medium,1,True,,6.0553610652297785,data/baselines/kepler_KIC_9267221.npz,2075.0,44.995084122230764,29.424568992108107,143.141906258847,train
KIC 9429241,kepler,12.752,medium,1,True,,6.255170752214747,data/baselines/kepler_KIC_9429241.npz,2075.0,44.9958624720457,29.425086737028323,107.79392736157932,train
KIC 11966643,kepler,13.612,medium,2,True,,6.50237213289553,data/baselines/kepler_KIC_11966643.npz,2091.0,44.993512986977294,29.423546640900895,167.0489083284416,test
KIC 11658848,kepler,13.21,medium,3,True,,6.1266451845402585,data/baselines/kepler_KIC_11658848.npz,2106.0,44.44243634826125,29.423946960596368,130.69472945341442,train
KIC 2835827,kepler,13.706,medium,3,True,,5.974384658761599,data/baselines/kepler_KIC_2835827.npz,2106.0,44.44261874318909,29.424067167565227,191.91809513562507,train
KIC 2436884,kepler,13.522,medium,3,True,,5.649439290627213,data/baselines/kepler_KIC_2436884.npz,2123.0,44.99267321549269,29.4229996483773,276.8513800665746,train
KIC 4755586,kepler,13.755,medium,5,True,,5.589654613758801,data/baselines/kepler_KIC_4755586.npz,2091.0,44.99278726759803,29.423064351431098,463.5911457611013,train
KIC 3749041,kepler,12.706,medium,2,True,,6.34928073707204,data/baselines/kepler_KIC_3749041.npz,2091.0,44.99270412179612,29.42302084935363,109.13355059132014,train
KIC 6875074,kepler,12.822,medium,2,True,,6.667900806385451,data/baselines/kepler_KIC_6875074.npz,2144.0,44.99566336493445,29.424977274611592,407.5832166136769,test
KIC 5442501,kepler,13.645,medium,4,True,,5.849309904436749,data/baselines/kepler_KIC_5442501.npz,2116.0,44.99673381937464,29.425675958627835,133.51338426270195,train
KIC 9873956,kepler,12.81,medium,2,True,,6.27184380260451,data/baselines/kepler_KIC_9873956.npz,2091.0,44.99322598688741,29.42334304447286,97.17441751568607,train
KIC 11671484,kepler,13.279,medium,1,True,,5.54642461881646,data/baselines/kepler_KIC_11671484.npz,2075.0,44.99565417779377,29.42495421913918,126.21279322971291,train
KIC 4769549,kepler,13.424,medium,4,True,,6.691194345938581,data/baselines/kepler_KIC_4769549.npz,2116.0,44.99673841123149,29.425675979582593,142.04855738553988,test
KIC 3851599,kepler,13.139,medium,3,True,,6.714015168325609,data/baselines/kepler_KIC_3851599.npz,2106.0,44.442331376740185,29.42387287504971,118.9703177851766,train
KIC 5780614,kepler,12.587,medium,3,True,,5.595721166967119,data/baselines/kepler_KIC_5780614.npz,2106.0,44.442526588936744,29.424005141481757,205.2932683804555,train
KIC 11810913,kepler,13.144,medium,4,True,,6.186386868906342,data/baselines/kepler_KIC_11810913.npz,2116.0,44.996087212530256,29.425245474558324,120.21567161830302,test
KIC 7903116,kepler,13.415,medium,2,True,,6.523083071998718,data/baselines/kepler_KIC_7903116.npz,2091.0,44.99305923043721,29.423241628683172,357.61257918259656,train
KIC 10004547,kepler,13.681,medium,0,True,,6.300380640338087,data/baselines/kepler_KIC_10004547.npz,1624.0,33.47126880941505,29.42529377527535,122.89796064410488,train
KIC 6952162,kepler,13.28,medium,3,True,,6.033379332879186,data/baselines/kepler_KIC_6952162.npz,2106.0,44.44227235696599,29.423832641914487,123.4512565371047,train
KIC 5731428,kepler,13.412,medium,3,True,,5.578615304904569,data/baselines/kepler_KIC_5731428.npz,2106.0,44.44196518116951,29.42362359724939,187.1244656625703,train
KIC 4995719,kepler,13.418,medium,2,True,,5.689332407586068,data/baselines/kepler_KIC_4995719.npz,2091.0,44.99276655760332,29.42305413074791,151.06444120664855,train
KIC 12165226,kepler,12.792,medium,2,True,,5.9903758027936345,data/baselines/kepler_KIC_12165226.npz,2091.0,44.99355048644793,29.42356986925006,96.86506589728202,test
KIC 4839259,kepler,13.601,medium,1,True,,6.021238602733896,data/baselines/kepler_KIC_4839259.npz,2075.0,44.99549915915122,29.42484173923731,150.16121397025947,train
KIC 2283243,kepler,12.785,medium,0,True,,5.937899833510092,data/baselines/kepler_KIC_2283243.npz,1624.0,33.471472531804466,29.4254810269922,121.7876039013277,train
KIC 10068024,kepler,13.126,medium,0,True,,5.746153169947949,data/baselines/kepler_KIC_10068024.npz,1624.0,33.47126769660099,29.425293439999223,119.46567557862986,train
KIC 3966128,kepler,13.475,medium,3,True,,5.547427635232551,data/baselines/kepler_KIC_3966128.npz,2106.0,44.44217072522588,29.423763229278848,142.77095446048904,train
KIC 6946148,kepler,12.955,medium,0,True,,6.355982230892886,data/baselines/kepler_KIC_6946148.npz,1624.0,33.4714801163791,29.42547799902968,86.98699728548254,train
KIC 11198190,kepler,13.37,medium,3,True,,5.913421344125347,data/baselines/kepler_KIC_11198190.npz,2144.0,44.99564815666963,29.424963695928454,442.91940075325414,train
KIC 7619120,kepler,13.406,medium,5,True,,5.659714152199721,data/baselines/kepler_KIC_7619120.npz,2144.0,44.99566007876274,29.424974927678704,129.00766813463397,train
KIC 9570769,kepler,13.588,medium,1,True,,5.066040651787582,data/baselines/kepler_KIC_9570769.npz,2075.0,44.994986645819154,29.42450411093887,192.0116202467154,train
KIC 2015820,kepler,9.527,bright,4,True,,4.985148399794517,data/baselines/kepler_KIC_2015820.npz,2115.0,44.99693532853416,29.425802954938263,308.61815312193033,train
KIC 6143030,kepler,12.988,medium,2,True,,5.485595803995344,data/baselines/kepler_KIC_6143030.npz,2091.0,44.992924013226,29.42315010353923,120.3552782260417,train
KIC 9784241,kepler,13.173,medium,0,True,,6.52797979743623,data/baselines/kepler_KIC_9784241.npz,1624.0,33.4714948155015,29.42550431820564,119.41742841169426,test
KIC 4661821,kepler,13.563,medium,2,True,,6.875647967855074,data/baselines/kepler_KIC_4661821.npz,2091.0,44.99277928517404,29.42306024429854,181.81510428064337,test
KIC 11858760,kepler,13.553,medium,2,True,,5.472293549060183,data/baselines/kepler_KIC_11858760.npz,2091.0,44.993476601426664,29.42353122867644,143.18982116324707,train
KIC 9158153,kepler,13.122,medium,2,True,,5.4923661687800704,data/baselines/kepler_KIC_9158153.npz,2091.0,44.99317018331931,29.423320497153327,106.11076195065372,train
KIC 4996215,kepler,13.661,medium,0,True,,5.553250019148953,data/baselines/kepler_KIC_4996215.npz,1624.0,33.4714227180375,29.425434580771253,174.17632996660285,train
KIC 2694947,kepler,13.563,medium,5,True,,5.926917693058275,data/baselines/kepler_KIC_2694947.npz,2144.0,44.99518123320741,29.42465960048139,235.7254541248976,train
KIC 3662035,kepler,13.525,medium,2,True,,6.513537323025263,data/baselines/kepler_KIC_3662035.npz,2091.0,44.99272869858396,29.42302268813364,159.92915324157113,test
KIC 3346398,kepler,12.531,medium,0,True,,4.704810290800178,data/baselines/kepler_KIC_3346398.npz,1624.0,33.47165179463627,29.42563340999186,296.44635992295525,train
KIC 3831074,kepler,13.37,medium,4,True,,6.192932037482267,data/baselines/kepler_KIC_3831074.npz,2139.0,44.99523594118364,29.42469345813151,369.51971517137343,test
KIC 8172927,kepler,13.188,medium,5,True,,6.980079223354746,data/baselines/kepler_KIC_8172927.npz,2144.0,44.99561188118969,29.424943076446652,133.0464036506487,train
KIC 5567464,kepler,12.82,medium,4,True,,5.651419382370443,data/baselines/kepler_KIC_5567464.npz,2116.0,44.9966509658916,29.42562624346465,126.5965928203084,train
KIC 5880667,kepler,13.78,medium,3,True,,6.964220462971692,data/baselines/kepler_KIC_5880667.npz,2106.0,44.44225479943998,29.42382006905973,254.14154031680465,train
KIC 9673002,kepler,13.366,medium,3,True,,6.817296566286703,data/baselines/kepler_KIC_9673002.npz,2106.0,44.44192002937052,29.423595936968923,151.524046273609,train
KIC 4640983,kepler,12.902,medium,0,True,,5.044570240656999,data/baselines/kepler_KIC_4640983.npz,1624.0,33.47145358998387,29.42546190577559,99.8987586150395,test
KIC 9139314,kepler,13.018,medium,1,True,,6.596423751236123,data/baselines/kepler_KIC_9139314.npz,2075.0,44.99505079811206,29.424546025693417,125.70894645060676,test
KIC 10729901,kepler,13.721,medium,5,True,,5.855133732297008,data/baselines/kepler_KIC_10729901.npz,2144.0,44.99545243084867,29.424834782257676,133.7879252492013,train
KIC 6848439,kepler,13.536,medium,3,True,,6.02416447108123,data/baselines/kepler_KIC_6848439.npz,2106.0,44.44261454059597,29.424063647165895,136.33008418598638,test
KIC 4141488,kepler,12.564,medium,1,True,,6.253326261648507,data/baselines/kepler_KIC_4141488.npz,2075.0,44.99515430693282,29.42461206985172,210.04715404812555,train
KIC 8023029,kepler,13.249,medium,3,True,,6.257312318389885,data/baselines/kepler_KIC_8023029.npz,2106.0,44.44244553977478,29.42395149730146,243.63680136784447,train
KIC 2721790,kepler,13.536,medium,1,True,,6.300786298419918,data/baselines/kepler_KIC_2721790.npz,2075.0,44.995527252263855,29.424860509461723,243.10813495375436,train
KIC 5644613,kepler,13.668,medium,0,True,,5.935633168480412,data/baselines/kepler_KIC_5644613.npz,1624.0,33.47172202427464,29.42569643142633,163.61192226992975,test
KIC 10579294,kepler,13.05,medium,0,True,,4.4493800329666575,data/baselines/kepler_KIC_10579294.npz,1624.0,33.4710301123705,29.425083557143807,129.48154432328153,train
KIC 8682863,kepler,13.035,medium,3,True,,6.97781129741816,data/baselines/kepler_KIC_8682863.npz,2106.0,44.44247316513065,29.42396960221231,107.40612622087474,train
KIC 4148624,kepler,13.763,medium,5,True,,6.908777720718255,data/baselines/kepler_KIC_4148624.npz,1784.0,44.995644683491264,29.42492346279323,516.8870732648018,train
KIC 2837359,kepler,13.74,medium,0,True,,6.493714862177665,data/baselines/kepler_KIC_2837359.npz,1624.0,33.47150853079802,29.425511537119743,163.89045366374617,test
KIC 11397467,kepler,12.68,medium,3,True,,6.2698466119826035,data/baselines/kepler_KIC_11397467.npz,2106.0,44.44249557182047,29.423986774636433,192.20396294509715,train
KIC 5097754,kepler,13.154,medium,1,True,,6.030321166302355,data/baselines/kepler_KIC_5097754.npz,2075.0,44.99541489587864,29.42478507757187,138.40782226545758,test
KIC 5976266,kepler,13.627,medium,3,True,,6.3741999059306576,data/baselines/kepler_KIC_5976266.npz,2106.0,44.442084322588926,29.423704566434026,245.80269798997497,test
KIC 8690453,kepler,13.593,medium,5,True,,6.642660721039616,data/baselines/kepler_KIC_8690453.npz,2123.0,44.99317282861011,29.423323938972317,119.0702252193545,train
KIC 8816372,kepler,13.173,medium,0,True,,5.911665755211693,data/baselines/kepler_KIC_8816372.npz,1624.0,33.471389674479724,29.42539888434112,118.87855306766654,test
KIC 8181580,kepler,13.232,medium,4,True,,5.296079129616873,data/baselines/kepler_KIC_8181580.npz,2116.0,44.99646002549707,29.42549175582826,109.07792162302933,train
KIC 3343186,kepler,13.11,medium,0,True,,6.584579484535457,data/baselines/kepler_KIC_3343186.npz,1624.0,33.47162783089152,29.42561379633844,499.4318785017003,train
KIC 9948163,kepler,13.22,medium,0,True,,6.777863227460892,data/baselines/kepler_KIC_9948163.npz,1624.0,33.47131761269702,29.42534003290348,96.8375206109718,test
KIC 6115501,kepler,13.049,medium,3,True,,6.200252773937009,data/baselines/kepler_KIC_6115501.npz,2106.0,44.44248114027869,29.423973625525832,99.00717807780106,train
KIC 12265075,kepler,13.072,medium,2,True,,5.499517464421559,data/baselines/kepler_KIC_12265075.npz,2091.0,44.99356982186873,29.423581844894215,123.0989554591716,train
KIC 10485765,kepler,11.477,bright,0,True,,4.973264102895008,data/baselines/kepler_KIC_10485765.npz,1624.0,33.47146106733999,29.425474813906476,276.40276681605934,train
KIC 7050289,kepler,13.71,medium,3,True,,5.05375922280361,data/baselines/kepler_KIC_7050289.npz,2106.0,44.44208499337401,29.42370572942309,1058.81899785444,train
KIC 9897117,kepler,13.158,medium,5,True,,6.539150270640607,data/baselines/kepler_KIC_9897117.npz,2144.0,44.99560477124032,29.424936873838305,114.60490388975704,train
KIC 8183753,kepler,13.682,medium,3,True,,5.994414765910528,data/baselines/kepler_KIC_8183753.npz,2106.0,44.442032008104434,29.423670871183276,166.20403211084366,train
KIC 4857724,kepler,13.307,medium,0,True,,6.221949330470551,data/baselines/kepler_KIC_4857724.npz,1624.0,33.47173297429981,29.425701973959804,130.0669020792142,train
KIC 10264639,kepler,12.58,medium,5,True,,6.512693661700605,data/baselines/kepler_KIC_10264639.npz,2144.0,44.99527488816966,29.424717938527465,78.87005762913303,train
KIC 5094348,kepler,13.047,medium,2,True,,5.731960570501791,data/baselines/kepler_KIC_5094348.npz,2091.0,44.99278567008878,29.423081874847412,276.3634341499168,train
KIC 8753598,kepler,13.54,medium,3,True,,5.9292306337015255,data/baselines/kepler_KIC_8753598.npz,2106.0,44.44233936050296,29.423879412934184,146.03383446193376,train
KIC 7909937,kepler,13.45,medium,3,True,,6.877842085426136,data/baselines/kepler_KIC_7909937.npz,2106.0,44.442021665185166,29.42366366274655,950.317191510736,train
KIC 10208318,kepler,12.778,medium,0,True,,6.112804011152488,data/baselines/kepler_KIC_10208318.npz,1624.0,33.47134585447202,29.425368709489703,98.3242276588576,train
KIC 3098965,kepler,13.142,medium,0,True,,4.585940261229544,data/baselines/kepler_KIC_3098965.npz,1624.0,33.47146127025189,29.425470790592954,146.78824761265278,train
KIC 4842225,kepler,13.042,medium,5,True,,5.303438535140785,data/baselines/kepler_KIC_4842225.npz,2144.0,44.99283457783895,29.42309939302504,300.96998533106387,train
KIC 4840410,kepler,13.235,medium,4,True,,5.049564325614472,data/baselines/kepler_KIC_4840410.npz,2116.0,44.99676555221231,29.4256841938477,126.642278796602,train
KIC 8074733,kepler,13.753,medium,4,True,,6.139268775424274,data/baselines/kepler_KIC_8074733.npz,2115.0,44.99650962372107,29.425519625656307,184.12629146428677,test
KIC 10743570,kepler,12.846,medium,4,True,,5.668356790528656,data/baselines/kepler_KIC_10743570.npz,2116.0,44.99618869089318,29.425311922095716,94.95105247177614,train
KIC 7185633,kepler,13.026,medium,4,True,,4.741856945487006,data/baselines/kepler_KIC_7185633.npz,2144.0,44.99521090584312,29.424676029011607,253.90236453608435,train
KIC 5600842,kepler,13.418,medium,5,True,,6.162366523271434,data/baselines/kepler_KIC_5600842.npz,2144.0,44.99284277065453,29.42310593090951,131.65302983621015,test
KIC 10031964,kepler,14.44,faint,0,True,,6.133132400947275,data/baselines/kepler_KIC_10031964.npz,1624.0,33.47152240284777,29.425529474392533,239.59551896885833,test
KIC 10224561,kepler,14.179,faint,2,True,,6.072732361027273,data/baselines/kepler_KIC_10224561.npz,2091.0,44.993332594684034,29.4234214205062,189.1503527484625,train
KIC 9328533,kepler,14.587,faint,4,True,,5.706939299521856,data/baselines/kepler_KIC_9328533.npz,2116.0,44.99638910761132,29.42545838537626,233.20150421502868,train
KIC 7204046,kepler,13.886,faint,3,True,,6.259139978279823,data/baselines/kepler_KIC_7204046.npz,2106.0,44.442272418200446,29.423832641914487,175.9914614677873,train
KIC 8676967,kepler,14.742,faint,3,True,,6.169457057325196,data/baselines/kepler_KIC_8676967.npz,2106.0,44.442641871886735,29.42408393137157,252.3641468149004,test
KIC 9519225,kepler,14.256,faint,3,True,,5.5330267381300535,data/baselines/kepler_KIC_9519225.npz,1284.0,31.754890478827292,29.425386604852974,194.85988089509624,test
KIC 2976017,kepler,14.261,faint,0,True,,5.831939470623868,data/baselines/kepler_KIC_2976017.npz,1624.0,33.471514119781204,29.425516398623586,225.09276201684068,train
KIC 4932232,kepler,13.843,faint,4,True,,5.857969831524745,data/baselines/kepler_KIC_4932232.npz,2116.0,44.996751316248265,29.42566977697425,151.01019542401238,train
KIC 9881140,kepler,13.942,faint,4,True,,6.02234766603105,data/baselines/kepler_KIC_9881140.npz,2116.0,44.996326443164435,29.425413133576512,154.46794731435332,train
KIC 4990868,kepler,14.288,faint,2,True,,6.994456290900586,data/baselines/kepler_KIC_4990868.npz,2091.0,44.99276289514819,29.423039378598332,206.90055611982024,train
KIC 8345684,kepler,14.076,faint,1,True,,6.2264878155116925,data/baselines/kepler_KIC_8345684.npz,2075.0,44.99494602618506,29.424475114792585,258.76225769097306,test
