target,mission,label,published_period,published_depth_ppm,published_duration_hr,mag
TIC 23434737,tess,transit,25.5195307,558.3758637,6.6877451,7.9995
TIC 34068865,tess,transit,0.3219233,204.0,0.199,8.031941
TIC 237184773,tess,false_positive,6.5011911,4501.3454064,5.5463587,8.0348
TIC 199376584,tess,transit,18.712253,6066.0,6.475,8.0417
TIC 371443216,tess,transit,2.8240691,8970.0,3.808,8.0552
TIC 418604868,tess,transit,15.6146058,467.1437307,5.8168055,8.0581
TIC 198457103,tess,false_positive,0.4721054,45.2185132,1.6995515,8.07023
TIC 354619337,tess,transit,2.1425095,7961.0,5.163,8.08821
TIC 320004517,tess,transit,17.4713078,1199.7541483,4.4284819,8.0888
TIC 385624852,tess,false_positive,8.30792,8350.0,3.228,8.0981
TIC 298073824,tess,false_positive,1.2273079,66.4147779,4.8114753,8.1033
TIC 286132427,tess,false_positive,0.493379,194.341058,1.5,8.1075
TIC 70513361,tess,transit,11.1452784,566.2736451,1.3947705,8.1345
TIC 333657795,tess,transit,0.9260632,221.0,1.035,8.1359
TIC 376866659,tess,transit,3.2527618,5247.3433342,4.4705283,8.14481
TIC 367366318,tess,transit,2.7347651,9209.0,3.205,8.14847
KIC 8738244,kepler,variable,0.683082998,143.3,4.409,8.163
TIC 31374837,tess,transit,0.4900589,291.0399722,1.0123328,8.1705
TIC 295354126,tess,false_positive,2.2778177,880.0,3.212,8.177301
TIC 207141131,tess,transit,4.1374403,1008.4447279,1.587497,8.1796
TIC 326919774,tess,false_positive,7.57193,420.0,2.656,8.19
TIC 54085154,tess,false_positive,1.0014437,416.0,1.28,8.2046
TIC 357416482,tess,false_positive,5.49826,12929.0,2.04,8.2057
TIC 459952217,tess,false_positive,73.580982,347.4450365,2.1441598,8.22109
TIC 97735908,tess,transit,4.1137862,5739.0,5.235,8.22398
KIC 3632418,kepler,transit,2.785821236,68.9,3.5599,8.224
TIC 131979339,tess,false_positive,22.6384642,4982.0,4.988,8.2268
TIC 219751469,tess,false_positive,6.98301,270.0,3.472,8.2285
TIC 259701242,tess,false_positive,2.4854887,190.9708134,2.5647259,8.235
TIC 325172035,tess,false_positive,2.8970202,3080.9239308,4.1502336,8.2376
TIC 459942762,tess,false_positive,0.58644,443.281,1.441,8.2482
TIC 271900960,tess,false_positive,13.45913,2579.32,3.428,8.2606
TIC 120269103,tess,false_positive,20.4276727,2988.5020776,5.1878327,8.26522
TIC 256886630,tess,false_positive,2.03905,430.0,2.26,8.26618
TIC 39903405,tess,transit,5.633477,5651.0,4.132,8.27468
TIC 49899799,tess,false_positive,7.0114,8970.0,4.8,8.28222
TIC 219857012,tess,transit,21.2690422,350.0,5.893,8.2865
TIC 37575651,tess,false_positive,9.5971977,600.5813487,2.9439152,8.2866
TIC 54464870,tess,false_positive,3.6944323,312.0,4.915,8.29254
TIC 269701147,tess,transit,28.580474,1081.396943,4.5139977,8.2929
TIC 283621618,tess,transit,3.1856488,4750.0,1.304,8.2942
TIC 318753380,tess,transit,15.6692322,1393.3814802,4.562853,8.2969
TIC 352413427,tess,transit,5.2544884,567.0,2.898,8.297
TIC 120896927,tess,transit,17.1796673,561.3005312,2.1061533,8.3157
TIC 183979262,tess,false_positive,3.4307565,9664.2985634,3.1443388,8.3291
TIC 408618999,tess,transit,7.0731057,439.0,3.819,8.3302
TIC 23113034,tess,false_positive,1.7134571,355.0,1.433,8.3482
TIC 307958020,tess,transit,271.938639,483.1688883,11.1292466,8.3498
TIC 372913430,tess,false_positive,6.7391601,3040.0,2.537,8.3502
KIC 3644542,kepler,eclipse,119.67980316,299046.0,32.1928,8.351
TIC 288391628,tess,false_positive,10.9278415,2743.0,2.468,8.36544
TIC 8967242,tess,transit,7.093853,284.2381135,2.5107626,8.3662
TIC 27491137,tess,transit,10.3563596,923.942127,3.4814933,8.3745
TIC 310483807,tess,false_positive,2.55555,397.9246747,1.566,8.3854
TIC 327017634,tess,false_positive,,878.134108,2.726775,8.386
TIC 293954617,tess,transit,7.4341456,701.0,2.424,8.3879
TIC 349488688,tess,transit,11.6207544,486.0090375,5.6290584,8.40302
TIC 138819293,tess,transit,2.6438856,6404.7051471,0.9689289,8.40346
TIC 367607434,tess,false_positive,8.2916,470.0,3.361,8.40348
TIC 21755546,tess,false_positive,0.660179,473.0939303,1.6349369,8.40386
TIC 26433869,tess,false_positive,1.0357235,480.0,1.366,8.4107
TIC 430677414,tess,false_positive,0.46741,1592.12,1.25,8.41718
TIC 327663613,tess,false_positive,1.41144,414.379,2.509,8.4215
TIC 387834907,tess,false_positive,12.64001,9458.38,6.893,8.4239
TIC 366989877,tess,transit,15.5077855,513.0,4.565,8.4362
TIC 329864959,tess,false_positive,4.52318,25109.1,5.099,8.437
TIC 139853601,tess,false_positive,0.6808702,1507.8006889,2.4634563,8.45086
TIC 39699648,tess,transit,6.5273884,415.430891,3.1190657,8.4594
TIC 366443426,tess,transit,15.5718552,380.0,4.931,8.4642
TIC 127315102,tess,false_positive,10.8458712,3120.0,3.379,8.4672
TIC 232540264,tess,transit,15.9234883,493.0,4.021,8.4724
TIC 120602501,tess,false_positive,14.8626982,8264.2193919,3.3250502,8.48216
TIC 309402106,tess,false_positive,216.24584,5045.1950681,1.0703729,8.488401
TIC 37749396,tess,transit,13.4758478,708.9461601,2.0643913,8.4991
TIC 350995812,tess,false_positive,2.97164,7350.0,1.534,8.5011
TIC 28230919,tess,transit,4.8878037,4279.0,2.184,8.5077
TIC 164173105,tess,transit,3.0726434,10471.4949697,2.2602485,8.51017
TIC 167009792,tess,false_positive,1.133052,104.3043949,1.3601919,8.5122
TIC 141663460,tess,false_positive,1.76442,8800.0,2.749,8.522
TIC 33153766,tess,false_positive,0.68831,3983.64,1.365,8.5234
TIC 9989136,tess,transit,6.1841688,1052.3509168,2.5898497,8.5446
TIC 88992642,tess,transit,10.2611329,1900.0,7.369,8.55942
TIC 83092282,tess,transit,6.4025295,3814.9508945,3.9233956,8.5615
TIC 56815340,tess,transit,9.5802888,354.2093066,3.1392827,8.56338
TIC 100504381,tess,false_positive,5.46278,2982.0,1.274,8.565
TIC 298663873,tess,transit,260.1740061,4747.959592,24.0527095,8.56854
TIC 306263608,tess,transit,20.7724316,1415.0,5.508,8.5725
TIC 350618622,tess,transit,52.9787392,6568.9620749,5.1293743,8.5822
TIC 339636032,tess,false_positive,6.8787507,359.0,2.599,8.5885
TIC 101011575,tess,transit,18.8792871,1199.0,3.262,8.5925
TIC 293708935,tess,false_positive,2.6855915,488.2401788,2.0491187,8.5941
TIC 308034948,tess,false_positive,0.831542,248.969585,1.985538,8.6014
TIC 404518509,tess,transit,25.1290153,465.0,4.271,8.6022
TIC 151759246,tess,transit,2.6282606,731.2082684,1.2408211,8.6133
TIC 368435330,tess,transit,3.6451549,780.0,2.055,8.6259
TIC 341444900,tess,false_positive,9.0330414,227.0,5.965,8.629
TIC 160268701,tess,false_positive,11.2071839,3276.0,4.366,8.63287
TIC 373424049,tess,false_positive,0.961917,363.5801833,2.378514,8.6333
TIC 17416749,tess,false_positive,2.34483,370.0,1.417,8.63532
TIC 275501623,tess,false_positive,1.67346,390.0,2.54,8.63701
TIC 284450803,tess,false_positive,3.3686634,3288.0,3.012,8.64028
TIC 70887357,tess,false_positive,723.8345008,3119.2983693,7.382946,8.64807
TIC 440887364,tess,transit,8.5954792,1140.0,2.47,8.6486
TIC 260647166,tess,transit,3.79589,317.5272928,2.4602856,8.6522
TIC 437856897,tess,transit,7.2455997,1106.0,2.734,8.6554
TIC 275111900,tess,false_positive,8.0428575,18730.0,9.504,8.6746
TIC 154867950,tess,false_positive,0.6664948,260.0,1.38,8.68013
TIC 335630746,tess,transit,4.6336155,7660.0,3.557,8.69009
TIC 198356533,tess,transit,18.840891,331.0,5.765,8.69378
TIC 293853437,tess,transit,8.7179665,2420.0,6.143,8.69437
TIC 431148743,tess,false_positive,2.6277641,490.0,2.997,8.706101
TIC 144441148,tess,false_positive,5.8182239,1069.5709916,1.1943658,8.70842
TIC 449197831,tess,transit,3.7369689,310.4978088,1.9917422,8.71008
TIC 459903429,tess,false_positive,8.13664,840.0,2.084,8.71289
TIC 90544017,tess,false_positive,3.2235985,680.0,2.159,8.7157
TIC 239372503,tess,false_positive,0.8560277,247.0,1.587,8.716291
KIC 6278762,kepler,transit,7.74347801,77.8,2.7878,8.717
TIC 360630575,tess,transit,9.188506,460.0,2.492,8.7215
TIC 239332587,tess,transit,0.9263237,952.0,0.81,8.72762
TIC 440100539,tess,false_positive,12.6017,800.0,4.835,8.7282
TIC 47384844,tess,false_positive,3.09574,380.0,4.475,8.72924
TIC 260043723,tess,false_positive,3.1385856,505.3163401,3.4594079,8.735
TIC 29191624,tess,transit,14.6503935,330.0,2.08,8.737001
TIC 413248763,tess,transit,3.9306027,1048.0,1.196,8.74094
TIC 160074939,tess,false_positive,13.340145,589.893526,4.611198,8.7435
TIC 350020859,tess,transit,11.8141726,1504.894167,5.5649352,8.74761
TIC 427761355,tess,transit,1.902606,8984.9897271,2.3653693,8.75127
TIC 425997655,tess,transit,3.9766833,142.0,1.859,8.7513
TIC 335483600,tess,false_positive,3.354053,6389.1712796,1.8984151,8.7514
TIC 460984940,tess,transit,2.7970316,481.0,2.185,8.7537
TIC 383390264,tess,transit,10.1826983,667.4752458,2.8275109,8.7581
TIC 33692729,tess,transit,13.6308024,1179.1033339,4.3426564,8.7615
TIC 144440290,tess,false_positive,,5530.0,0.68,8.7635
KIC 10963065,kepler,transit,2.465024332,30.7,1.262,8.769
KIC 11709006,kepler,variable,0.719741,32.2,2.628,8.777
TIC 386435344,tess,false_positive,19.3721051,3219.5594645,3.0859149,8.77728
TIC 461271719,tess,false_positive,7.6246239,1256.0632059,2.0328127,8.7823
TIC 91576611,tess,false_positive,4.43651,1520.0,3.365,8.7823
TIC 97158538,tess,false_positive,2.5950747,665.2502774,0.7921274,8.783341
TIC 391903064,tess,transit,4.6658022,513.7476343,2.92252,8.7843
TIC 365683032,tess,false_positive,1.4287976,1768.0,2.93,8.78822
KIC 7022603,kepler,blend,21.12752693,51.8,2.253,8.789
TIC 7624182,tess,false_positive,1.1096992,620.0,2.097,8.7929
TIC 250484865,tess,false_positive,0.76189,190.0,1.904,8.7973
TIC 384549882,tess,false_positive,0.30412,1330.0,0.748,8.802
TIC 377191482,tess,false_positive,2.9551881,230.0,1.361,8.8052
TIC 287080092,tess,transit,37.4685042,429.0,7.685,8.80616
TIC 131419878,tess,false_positive,3.16043,203.33,1.922,8.8154
TIC 390651552,tess,transit,1.467119,1550.632368,1.0069313,8.8223
TIC 364186197,tess,transit,4.4247042,2447.0,1.318,8.82374
TIC 100100827,tess,transit,0.9414525,11445.0,2.05,8.8287
TIC 14336130,tess,transit,8.082354,559.0,3.284,8.82897
TIC 106402532,tess,transit,4.8847937,478.0,2.51,8.8411
TIC 98796344,tess,transit,5.358776,2708.4393715,1.3697764,8.84294
TIC 159510109,tess,false_positive,16.9487087,156467.5479643,4.2887767,8.8523
TIC 248853232,tess,transit,3.8681492,17259.9935362,2.1610195,8.8628
TIC 408310006,tess,transit,5.4435354,3219.0,3.5,8.86849
TIC 4646810,tess,transit,10.9245478,653.537141,1.8716477,8.8723
TIC 112395568,tess,false_positive,5.742625,1105.760867,2.860293,8.8849
TIC 320525204,tess,false_positive,13.7431084,5688.0,2.285,8.88797
TIC 1400770435,tess,false_positive,13.7432169,5046.0,2.73,8.88797
TIC 55315929,tess,transit,0.7195712,159.6403985,1.7575219,8.89098
TIC 287256467,tess,transit,18.2616878,971.0,3.434,8.8975
TIC 200807066,tess,false_positive,26.2588239,251.0105068,4.4279477,8.9043
TIC 149845414,tess,transit,7.9940367,404.6194381,4.271047,8.90594
TIC 110428269,tess,false_positive,0.64971,620.0,2.076,8.90601
TIC 445805961,tess,transit,24.2833782,2844.0,5.132,8.9134
TIC 259099556,tess,false_positive,1.6290926,411.7525108,4.6315189,8.92071
TIC 78154865,tess,false_positive,0.493826,310.570859,1.162615,8.9225
TIC 166836920,tess,transit,5.7525804,5301.7998237,5.2325983,8.93
TIC 460140752,tess,false_positive,12.0077462,2921.0,2.818,8.9301
TIC 142276270,tess,transit,26.3208756,800.0,4.414,8.9361
TIC 440801822,tess,false_positive,2.0483755,483.0,2.767,8.9362
TIC 29781292,tess,transit,22.8909897,226.3518918,2.3187085,8.9387
TIC 249067445,tess,false_positive,0.8317937,200.0,1.875,8.95699
TIC 343442463,tess,false_positive,0.78381,426.099,1.443,8.95861
TIC 172110606,tess,false_positive,2.0197299,426.0,2.563,8.96147
TIC 357501308,tess,transit,7.4355709,1310.6803156,2.3450321,8.962
TIC 444415148,tess,false_positive,1.83641,470.0,2.222,8.9676
TIC 75427473,tess,false_positive,1.4713984,236.0,3.028,8.96861
TIC 257774438,tess,transit,15.3886607,407.1050545,4.3300643,8.97055
TIC 142387023,tess,transit,22.8085719,977.0,3.847,8.9754
TIC 119292328,tess,transit,7.1887332,285.257999,2.9505752,8.9767
TIC 393818343,tess,transit,16.2499357,13412.0,4.003,8.9797
TIC 341815767,tess,false_positive,3.09374,150.0,2.451,8.98018
TIC 317597583,tess,transit,12.0557353,807.0,1.959,8.9943
TIC 255760319,tess,false_positive,7.21048,250.094,2.671,8.9944
TIC 121490076,tess,transit,14.2456603,1084.0,3.403,8.9988
TIC 417931607,tess,transit,16.5379864,608.0,2.796,8.9989
TIC 311121985,tess,false_positive,1.3561596,482.0,2.504,9.00007
KIC 3230227,kepler,eclipse,7.047106212,69626.0,3.16223,9.002
TIC 387079085,tess,false_positive,1.1923,3730.0,3.119,9.0039
TIC 120826158,tess,transit,5.1830043,670.0,2.783,9.00568
TIC 252479260,tess,transit,3.2122302,14429.0,2.653,9.007
TIC 381976956,tess,false_positive,22.338916,605.5453887,3.4122327,9.0099
TIC 142090065,tess,false_positive,2.8269356,950.9544382,1.1692366,9.01249
TIC 142937186,tess,transit,1.30613,560.0,0.634,9.0138
TIC 320417762,tess,false_positive,1.03604,250.0,1.855,9.0188
TIC 229455001,tess,transit,22.3417286,472.0,2.582,9.01932
TIC 317060587,tess,transit,9.139804,358.4157801,3.0912936,9.0197
TIC 6893917,tess,transit,3.0801795,8926.432346,3.4870958,9.02097
TIC 363260203,tess,false_positive,1.2025238,390.0,1.991,9.0211
TIC 293435336,tess,transit,1.8098811,13033.5612701,3.7636624,9.02706
TIC 204650483,tess,transit,9.956296,1024.0,10.474,9.02765
TIC 154872375,tess,transit,8.0277326,5705.0,4.284,9.02855
TIC 164458714,tess,transit,17.8335899,289.0,3.642,9.03131
TIC 184952758,tess,false_positive,4.109953,434.0,4.641,9.0349
TIC 395171208,tess,transit,4.7201912,6710.0,4.416,9.03527
TIC 122220263,tess,false_positive,18.6922101,11126.0,7.765,9.03609
TIC 180695581,tess,transit,0.54937,370.0,0.883,9.0363
TIC 63898957,tess,transit,13.0393586,625.5995687,4.9218325,9.03971
TIC 130924120,tess,transit,17.4682298,926.0,3.491,9.0498
TIC 389352124,tess,transit,4.954648,7357.0,3.639,9.0532
TIC 179034327,tess,transit,17.9635083,1266.94519,4.4297958,9.0567
TIC 300810086,tess,false_positive,0.6680063,569.3164896,0.9885108,9.0567
TIC 233684293,tess,false_positive,48.4808217,110.0,8.081,9.05769
TIC 439610306,tess,false_positive,1.79988,180.0,3.518,9.0607
TIC 164652245,tess,transit,79.5839995,585.7148869,4.3996752,9.0638
TIC 301289516,tess,transit,1.2089755,668.0,1.286,9.0684
TIC 158025009,tess,transit,1.0697621,376.0,1.356,9.0739
TIC 118301361,tess,false_positive,3.46608,1620.0,4.403,9.08054
TIC 387664866,tess,false_positive,2.65646,773.369,2.475,9.08409
TIC 102283403,tess,false_positive,3.52985,560.0,1.907,9.08959
TIC 377024332,tess,false_positive,15.1771428,538.0,4.556,9.089871
TIC 300038935,tess,transit,29.0496801,297.0644469,7.3129572,9.0963
TIC 71431780,tess,transit,13.7270395,901.0,4.007,9.09942
TIC 176831592,tess,false_positive,2.53405,4070.0,1.944,9.1013
TIC 249862365,tess,false_positive,0.98999,420.0,2.05,9.10226
TIC 183985250,tess,transit,0.7920645,1561.7798964,0.3656119,9.1031
TIC 116483514,tess,transit,1.4520486,393.0,1.339,9.1043
TIC 150030205,tess,transit,39.361947,552.0,4.535,9.1059
TIC 311183180,tess,false_positive,13.24981,27250.0,3.299,9.1073
TIC 260304296,tess,false_positive,1.0251822,7065.3522073,1.6880109,9.109901
TIC 74482749,tess,false_positive,1.2622658,3711.7152579,1.7829162,9.1103
TIC 73723286,tess,false_positive,14.066109,16514.0482965,3.4744355,9.1116
TIC 229384040,tess,false_positive,1.2980202,250.0,3.007,9.11269
TIC 69997672,tess,false_positive,1.80709,450.0,3.297,9.11458
TIC 192372961,tess,false_positive,2.06313,600.0,2.157,9.1222
TIC 149539158,tess,false_positive,2.2338786,318.9211436,3.0400001,9.1251
TIC 344926234,tess,false_positive,0.49359,246.702105,1.545897,9.1299
TIC 244089109,tess,transit,2.1376682,8819.0,1.879,9.13055
TIC 169904935,tess,false_positive,4.5505945,3731.0,2.654,9.1309
TIC 314338017,tess,false_positive,10.9554897,370.0,6.772,9.1325
TIC 238597883,tess,false_positive,3.5730141,755.0,3.37,9.1355
TIC 136971594,tess,false_positive,1.25562,290.0,2.304,9.1384
TIC 97568467,tess,transit,10.655694,2103.6578759,7.8236322,9.14112
TIC 188989177,tess,false_positive,1.17409,3680.0,1.701,9.1414
TIC 237222864,tess,transit,10.288886,854.0,1.391,9.1416
TIC 183532609,tess,transit,8.1587261,15337.0,4.288,9.1468
TIC 137284119,tess,false_positive,2.5778717,1010.0,3.472,9.14819
TIC 167754523,tess,false_positive,6.7992776,210.0,1.58,9.1536
TIC 366484980,tess,transit,13.7748361,309.0,4.454,9.15722
TIC 325680697,tess,false_positive,1.82488,2950.0,1.757,9.15779
TIC 356235833,tess,false_positive,1.2680452,538.0,1.027,9.1597
KIC 2970804,kepler,eclipse,0.686994057,2797.1,3.5252,9.16
TIC 71582156,tess,transit,5.4911302,448.451647,1.9062098,9.16067
KIC 5200084,kepler,variable,2.9039446,13.1,10.542,9.162
TIC 95010343,tess,false_positive,6.880459,445.0,2.037,9.16636
TIC 42755801,tess,false_positive,4.3433389,1100.0,4.514,9.1672
TIC 380887434,tess,transit,0.3994445,330.8173737,0.8028796,9.16764
TIC 116608612,tess,false_positive,3.4557863,6423.0,2.164,9.17041
KIC 10748390,kepler,transit,4.887803076,4315.8,2.36255,9.174
KIC 9641031,kepler,eclipse,1.089077111,304072.0,3.8834,9.177
TIC 266980320,tess,transit,6.0344634,1750.6457632,2.052901,9.179
TIC 354469661,tess,transit,4.7947749,6864.0,4.799,9.17925
TIC 172518755,tess,transit,3.2087149,1960.0,1.639,9.1824
TIC 350348197,tess,transit,6.7535728,1740.0,2.173,9.18458
TIC 166527623,tess,transit,6.9593972,4826.8656037,4.8553269,9.1871
TIC 186812530,tess,transit,3.6773543,3949.0,1.441,9.19813
TIC 316916655,tess,false_positive,2.87436,2490.41,1.901,9.19901
TIC 267263253,tess,transit,4.1269046,10831.0,4.405,9.2205
TIC 41173048,tess,false_positive,6.40938,280.0,2.356,9.2225
TIC 429304876,tess,transit,6.8392388,1213.0,4.176,9.2231
TIC 457138169,tess,false_positive,1.0924536,874.580104,1.2245785,9.22437
TIC 267489265,tess,false_positive,1.5502952,411.0,2.938,9.2293
TIC 234994474,tess,transit,1.4015183,593.7540922,1.1583061,9.22978
KIC 7090801,kepler,variable,548.08441,560.0,17.66,9.233
TIC 156115721,tess,false_positive,2.5047918,2270.5402194,4.3797563,9.2386
TIC 129539786,tess,false_positive,2.0881134,730.0,2.307,9.24102
KIC 4565985,kepler,eclipse,17.51191534,728.8,5.678,9.242
TIC 187278212,tess,transit,,744.3594775,1.6479258,9.2493
TIC 155114483,tess,false_positive,5.2651271,3450.0,2.463,9.25068
TIC 184679932,tess,false_positive,2.1721416,17864.5520776,2.7480823,9.25319
TIC 212253390,tess,transit,3.0926858,272.6778328,2.2149195,9.2551
TIC 34077285,tess,transit,2.5735943,739.6008283,2.4810064,9.2563
KIC 9246715,kepler,eclipse,342.55315723,192887.0,73.8068,9.266
TIC 26547036,tess,transit,1134.6723963,11679.2159464,8.6844623,9.26693
TIC 404505029,tess,transit,9.5739531,3170.0,4.172,9.26733
TIC 261258875,tess,false_positive,2.5852,290.0,1.963,9.2691
TIC 94986319,tess,transit,16.067522,2929.6501469,2.6182382,9.2711
TIC 331034236,tess,false_positive,3.4272549,569.4677099,5.9083927,9.27116
TIC 280206394,tess,transit,11.2365977,9414.0,2.292,9.271401
KIC 11013201,kepler,transit,13.118962443,372.2,4.3045,9.275
KIC 3858884,kepler,variable,25.95193721,399167.0,15.9897,9.277
TIC 418987806,tess,false_positive,0.88654,870.0,1.679,9.27904
TIC 277103955,tess,false_positive,1.3090665,209.0,2.844,9.2927
TIC 207468071,tess,transit,20.3807824,2371.5221505,6.6590149,9.29416
TIC 124709665,tess,false_positive,1.8675574,1500.0,1.408,9.299501
TIC 106997505,tess,false_positive,2.74323,383.41,3.167,9.3003
TIC 237108272,tess,false_positive,22.7873,410.0,5.334,9.303001
TIC 382437043,tess,false_positive,14.64319,242.7923919,2.5483426,9.3109
TIC 68577662,tess,transit,11.1684037,9660.0,5.354,9.31437
TIC 56231866,tess,false_positive,2.7218347,560.0,1.663,9.3185
TIC 167098530,tess,false_positive,0.890967,1100.0,1.784,9.3213
TIC 194736418,tess,transit,5.826731,1068.0,4.571,9.3229
TIC 347430350,tess,transit,2.2438471,10310.0,2.574,9.32423
